Highway,Begin RM,Begin Displacement,Ending RM,Ending Displacement,County,Maintenance Section,Inspector,Accompanied By,Road Type,Inspection Section Source,Inspection ID,Date Update,User Update
FM0585,342,1.90,344,0.92,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109628,,
FM0586,346,1.40,348,0.40,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109657,,
FM1467,348,0.60,348,1.60,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109681,,
FM2126,342,0.80,342,1.80,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109618,,
FM2273,460,1.10,462,0.07,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109599,,
FM2492,448,1.70,450,0.73,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109679,,
FM2559,326,1.20,328,0.23,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109600,,
FM2632,336,1.40,338,0.43,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109690,,
US0067,568,0.10,568,1.10,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109691,,
US0084,566,1.50,568,0.51,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109619,,
US0084,572,1.90,574,0.93,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109605,,
US0183,362,1.90,364,0.85,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109606,,
US0183,364,1.00,366,0.01,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109665,,
US0183,368,1.60,370,0.60,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109652,,
FM0503,338,1.20,340,0.21,Coleman,2302 - Coleman County Maintenance Office,,,Non Interstate,By District,77109677,,
FM0568,440,0.50,440,1.50,Coleman,2302 - Coleman County Maintenance Office,,,Non Interstate,By District,77109610,,
FM1176,358,1.70,360,0.51,Coleman,2302 - Coleman County Maintenance Office,,,Non Interstate,By District,77109636,,
FM1929,426,0.60,426,1.60,Coleman,2302 - Coleman County Maintenance Office,,,Non Interstate,By District,77109692,,
FM2633,358,0.30,358,1.30,Coleman,2302 - Coleman County Maintenance Office,,,Non Interstate,By District,77109696,,
FM2805,332,1.60,334,0.65,Coleman,2302 - Coleman County Maintenance Office,,,Non Interstate,By District,77109700,,
SH0153,366,0.50,366,1.50,Coleman,2302 - Coleman County Maintenance Office,,,Non Interstate,By District,77109672,,
SH0206,324,1.00,326,0.03,Coleman,2302 - Coleman County Maintenance Office,,,Non Interstate,By District,77109626,,
SH0206,347,1.80,347,2.80,Coleman,2302 - Coleman County Maintenance Office,,,Non Interstate,By District,77109632,,
US0084,512,0.00,512,1.00,Coleman,2302 - Coleman County Maintenance Office,,,Non Interstate,By District,77109634,,
US0084,526,0.70,526,1.70,Coleman,2302 - Coleman County Maintenance Office,,,Non Interstate,By District,77109666,,
FM0591,496,1.80,498,0.74,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109621,,
FM1496,316,0.60,316,1.60,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109597,,
FM1702,326,0.70,326,1.70,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109656,,
FM2318,314,1.90,316,0.93,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109683,,
FM2486,498,0.80,498,1.80,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109613,,
FM2823,502,0.40,502,1.40,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109620,,
FM3200,330,1.00,332,0.02,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109658,,
FM3381,484,0.00,484,1.00,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109668,,
SH0016,336,0.20,336,1.20,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109614,,
SH0016,354,0.50,354,1.50,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109624,,
SH0016,358,0.60,358,1.60,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109601,,
SH0016,364,1.70,366,0.73,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109693,,
SH0036,372,1.50,374,0.54,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109653,,
SH0036,394,1.10,396,0.11,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109703,,
US0067,544,0.70,544,1.70,Comanche,2303 - Comanche County Maintenance Office,,,Non Interstate,By District,77109684,,
FM0101,472,0.40,472,1.40,Eastland,2304 - Eastland County Maintenance Office,,,Non Interstate,By District,77109615,,
FM0569,304,0.70,304,1.70,Eastland,2304 - Eastland County Maintenance Office,,,Non Interstate,By District,77109594,,
FM0569,306,1.30,308,0.30,Eastland,2304 - Eastland County Maintenance Office,,,Non Interstate,By District,77109642,,
FM0571,292,1.30,294,0.30,Eastland,2304 - Eastland County Maintenance Office,,,Non Interstate,By District,77109646,,
FM1852,288,0.60,288,1.60,Eastland,2304 - Eastland County Maintenance Office,,,Non Interstate,By District,77109671,,
FM2214,486,1.80,488,0.79,Eastland,2304 - Eastland County Maintenance Office,,,Non Interstate,By District,77109686,,
FM2461,304,1.30,306,0.28,Eastland,2304 - Eastland County Maintenance Office,,,Non Interstate,By District,77109704,,
FM2526,456,1.20,458,0.05,Eastland,2304 - Eastland County Maintenance Office,,,Non Interstate,By District,77109664,,
FM2563,472,1.60,474,0.63,Eastland,2304 - Eastland County Maintenance Office,,,Non Interstate,By District,77109695,,
