FY,County,Control-Section,CSJ,Highway,Pavement Plan,Direction,Roadbed,From Limits,To Limits,From DFO,To DFO,RTE_NM
2019,COLLIN,2678-01,2678-01-010,FM0428,Preventative Maintenance,E W,MAINLANE,DENTON CL,W SUNSET BLVD,21.865,25.161,FM0428-KG
2019,COLLIN,0816-04,0816-04-102,FM0455,Preventative Maintenance,E W,MAINLANE,CR 98,FM 3356,75.927,84.978,FM0455-KG
2019,COLLIN,1013-01,1013-01-036,FM0546,Preventative Maintenance,N S,MAINLANE,FM 982,W OF THE CROSSINGS DR,11.084,6.035,FM0546-KG
2019,COLLIN,1016-02,1016-02-018,FM1138,Preventative Maintenance,N S,MAINLANE,ROCKWALL CL,FM 6,7.455,3.239,FM1138-KG
2019,COLLIN,2977-01,2977-01-009,FM2933,Preventative Maintenance,N S,MAINLANE,CR 335,FM 545,6.811,0.632,FM2933-KG
2019,COLLIN,0047-09,0047-09-036,SH0005,Preventative Maintenance,N S,MAINLANE,SS0399,Sloan Crk,27.402,28.935,SH0005-KG
2019,COLLIN,0091-03,0091-03-028,SH0289,Preventative Maintenance,N S,MAINLANE,BS 289C,COLLIN CL,32.954,35.285,SH0289-KG
2019,DALLAS,0092-02,0092-02-128,IH0045,Preventative Maintenance,N S,Frontage Road,ELLIS CL,SH 310,267.151,275.602,IH0045-KG
2019,DALLAS,0095-10,0095-10-055,US0080,Preventative Maintenance,E W,Frontage Road,IH 30,E OF TOWN EAST BLVD,0.267,1.906,US0080-KG
2019,DALLAS,0095-02,0095-02-121,US0080,Preventative Maintenance,E W,Frontage Road,E OF TOWN EAST BLVD,KAUFMAN CL,1.911,9.696,US0080-KG
2019,DENTON,0816-02,0816-02-084,FM0455,Preventative Maintenance,E W,MAINLANE,IH 35,US 377,45.998,59.498,FM0455-KG
2019,DENTON,0816-06,0816-06-005,FM1192,Preventative Maintenance,E W,MAINLANE,END OF STATE MAINT.,BUS 377 E,0,1.816,FM1192-KG
2019,DENTON,2979-01,2979-01-009,FM2931,Preventative Maintenance,N S,MAINLANE,N OF US 380,FRIEND SHIP DR (EOM),9.743,0,FM2931-KG
2019,DENTON,0081-06,0081-06-041,US0377,Preventative Maintenance,N S,MAINLANE,FM 455,GRAYSON CL,36.258,32.678,US0377-KG
2019,DENTON,0134-09,0134-09-065,US0380,Preventative Maintenance,E W,MAINLANE,DENTON CL,FM 156,354.55,362.761,US0380-KG
2019,ELLIS,0092-10,0092-10-008,BI0045J,Preventative Maintenance,N S,MAINLANE,IH 45 SOUTH (S OF S MAIN St.),DALLAS CL,3.662,1.082,BI0045J-KG
