LAT,LON,RTE_DEFN_LN_NM,RTE_DFO,RMRKR_PNT_NBR,RMRKR_DISPLACEMENT,CTRL_SECT_LN_NBR,CTRL_SECT_MPT
31.040142,-104.831674,BI0010D-KG,2.194,114,0.009,,
32.250264,-101.478729,BI0020G-RG,3.34,310,1.146,,
27.506707,-99.507966,BI0035A-KG,3.151,634,0.192,1806,20.268
27.506529,-99.507156,BI0035A-KG,3.099,634,0.14,1806,20.215
27.506529,-99.507156,BI0035A-LG,3.169,634,0.14,,
35.232112,-100.601002,BI0040H-KG,2.174,366,0.324,27523,24.318
32.328452,-96.62379,BI0045G-KG,2.326,296,0.104,,
30.669308,-96.370517,BS0006R-KG,4.97,410,0.947,5001,1.371
31.603221,-94.655562,BS0007N-KG,2.025,,,11808,20.048
31.602866,-94.655134,BS0007N-KG,2.059,,,,
31.602521,-94.653863,BS0007N-KG,2.131,,,11808,20.155
31.605158,-94.65918,BS0021P-KG,1.596,780,0.815,,
32.089529,-96.468557,BS0031D-KG,5.272,622,1.373,,
28.701276,-96.216229,BS0035H-KG,1.188,546,1.148,17914,1.188
28.027157,-97.04992,BS0035L-KG,2.524,664,0.013,18004,8.424
28.027157,-97.04992,BS0035L-LG,2.535,664,0.01,,
28.027157,-97.04992,BS0035L-RG,2.519,664,0.015,,
30.158993,-96.397668,BS0036J-KG,2.552,444,0.675,18701,0.543
30.16262,-96.398611,BS0036J-KG,2.296,444,0.419,18701,0.287
30.165537,-96.400195,BS0036J-KG,2.079,444,0.202,,
30.162091,-96.399247,BS0036J-KG,2.322,444,0.445,,
33.613284,-95.051441,BS0037C-KG,0.579,204,0.525,18902,17.829
29.703515,-98.124925,BS0046C-KG,2.237,514,0.255,21502,20.383
29.703066,-98.125239,BS0046C-KG,2.241,514,0.259,21502,20.387
29.703515,-98.124925,BS0046C-LG,2.249,,,,
29.703066,-98.125239,BS0046C-LG,2.245,,,,
29.703515,-98.124925,BS0046C-RG,2.245,,,,
29.703066,-98.125239,BS0046C-RG,2.249,,,,
29.904675,-96.878316,BS0071E-KG,2.295,636,1.439,26514,25.453
29.901889,-96.884588,BS0071E-KG,1.872,636,1.016,26514,25.031
29.900335,-96.88897,BS0071E-KG,1.589,636,0.733,26514,24.748
33.16553,-96.36008,BS0078E-KG,1.688,238,1.649,28004,2.688
29.567264,-97.964546,BS0123B-KG,3.58,488,1.617,36612,4.58
32.158198,-94.339028,BU0059D-KG,1.673,300,1.585,6312,1.703
31.320277,-94.727507,BU0059G-KG,3.871,388,1.879,17603,0.674
29.31081,-96.103736,BU0059R-KG,7.372,,,,
29.308646,-96.103797,BU0059R-KG,7.518,,,8910,39.147
29.31081,-96.103736,BU0059R-LG,7.371,,,,
29.308646,-96.103797,BU0059R-LG,7.518,,,,
29.31081,-96.103736,BU0059R-RG,7.378,,,,
29.308646,-96.103797,BU0059R-RG,7.519,,,,
28.805618,-97.004659,BU0059T-KG,7.857,,,,
28.802954,-97.007578,BU0059T-KG,8.148,638,0.271,8919,9.612
28.802245,-97.008411,BU0059T-KG,8.212,638,0.335,8919,9.676
31.457542,-100.452578,BU0067H-KG,0.653,360,0.608,7709,2.749
31.460538,-100.442942,BU0067H-KG,0.05,360,0.005,,
32.347187,-97.386144,BU0067M-KG,4.404,452,1.26,,
32.347187,-97.386144,BU0067M-LG,4.367,,,,
33.138433,-95.600656,BU0067V-KG,4.498,656,1.179,918,10.01
25.909208,-97.506307,BU0077Z-KG,3.017,744,0.972,3910,3.563
25.900709,-97.496332,BU0077Z-LG,3.859,,,,
25.909208,-97.506307,BU0077Z-RG,2.987,,,,
32.152991,-94.795624,BU0079F-KG,0.626,340,0.596,24518,20.626
27.045225,-99.443561,BU0083N-KG,0.582,666,0.551,3808,0.582
26.215301,-98.326006,BU0083S-KG,7.171,504,1.25,3903,1.535
26.214985,-98.324006,BU0083S-KG,7.298,504,1.377,3903,1.661
32.250264,-101.478729,BU0087M-KG,3.696,378,0.218,6901,22.317
30.092867,-93.735316,BU0090Y-KG,4.759,442,0.614,,
30.093483,-93.738019,BU0090Y-KG,4.598,442,0.453,,
28.401929,-97.749073,BU0181J-KG,5.893,570,1.879,10107,11.306
28.402108,-97.748968,BU0181J-KG,5.885,570,1.871,10107,11.298
29.500923,-97.452118,BU0183V-KG,2.046,576,0.843,15303,2.046
27.227326,-98.144307,BU0281T-KG,0.867,710,0.45,25503,3.167
32.754212,-97.331238,BU0287P-KG,16.679,270,0.752,,
32.757329,-97.332995,BU0287P-KG,16.449,270,0.522,1401,17.824
32.755323,-97.331431,BU0287P-KG,16.614,270,0.687,1401,17.989
32.754458,-97.330807,BU0287P-KG,16.688,270,0.761,1401,18.063
32.754505,-97.330494,BU0287P-KG,16.711,270,0.784,1401,18.085
32.760065,-97.33463,BU0287P-KG,16.237,270,0.31,1401,17.613
32.760061,-97.334972,BU0287P-KG,16.228,270,0.301,1401,17.603
32.754505,-97.330494,BU0287P-LG,16.704,,,,
32.38397,-96.842551,BU0287R-KG,4.83,586,0.697,17211,6.33
32.398042,-96.863902,BU0287R-KG,3.231,584,1.101,17211,4.731
32.397854,-96.863481,BU0287R-KG,3.258,584,1.128,17211,4.758
32.38643,-96.849295,BU0287R-KG,4.402,586,0.269,17211,5.903
32.326068,-96.631287,BU0287S-KG,2.525,514,1.721,17212,6.597
32.328307,-96.625705,BU0287S-KG,2.884,514,2.08,17212,6.956
30.167627,-96.396403,BU0290F-KG,1.72,444,1.607,,
30.165747,-96.415345,BU0290F-KG,0.515,444,0.402,11409,20.513
30.166136,-96.403085,BU0290F-KG,1.293,444,1.18,11409,21.292
30.162541,-96.394668,BU0290F-KG,2.046,446,0.282,11410,17.546
30.166,-96.396238,BU0290F-KG,1.814,446,0.05,,
30.167111,-96.397662,BU0290F-KG,1.635,444,1.522,11409,21.635
30.16364,-96.39547,BU0290F-KG,1.968,446,0.204,,
30.167627,-96.396403,BU0290F-LG,1.67,,,,
30.166136,-96.403085,BU0290F-LG,1.257,,,,
30.167111,-96.397662,BU0290F-LG,1.589,,,,
30.165497,-96.402687,BU0290F-RG,1.289,,,,
30.167111,-96.397662,BU0290F-RG,1.608,,,,
32.222087,-98.199516,BU0377J-KG,2.156,506,0.238,7907,2.156
32.22012,-98.202293,BU0377J-KG,1.947,506,0.029,,
32.759038,-97.797361,FM0051-KG,75.53,286,0.309,,
33.623963,-97.145637,FM0051-KG,0.706,208,0.705,,
32.235007,-97.755759,FM0056-KG,22.628,316,0.084,,
31.313496,-94.70847,FM0058-KG,1.008,360,0.958,57602,1.012
32.378933,-96.853936,FM0066-KG,32.564,598,0.274,59602,17.922
32.379301,-96.854352,FM0066-KG,32.558,598,0.268,59602,17.916
32.380004,-96.853273,FM0066-KG,32.639,598,0.349,,
26.162569,-97.990774,FM0088-KG,22.826,726,1.761,,
