CTRL_SECT_LN_NBR,CTRL_SECT_MPT
103,1.608
103,1.479
103,1.574
214,0.05
803,1.915
907,0.016
918,10.01
1401,17.824
1401,17.989
1401,18.063
1401,18.085
1401,17.613
1401,17.603
1406,17.051
1406,16.914
1407,17.229
1505,0.099
1505,1.352
1505,20.3
1505,20.416
1505,20.205
1505,20.676
1505,20.178
1513,18.343
1602,20.264
1609,2.096
1806,20.268
1806,20.215
1901,25.639
1901,25.735
1901,25.67
2305,14.044
2603,16.744
2701,16.695
2803,13.063
2903,6.87
3002,7.06
3103,9.536
3304,21.155
3803,16.19
3808,0.582
3903,1.535
3903,1.661
3910,3.563
4514,4.777
4515,2.343
4705,17.26
5001,1.371
5104,3.782
5104,4.226
5104,5.515
5104,4.288
6312,1.703
6901,22.317
6907,36.92
6907,36.472
6907,36.578
7104,9.748
7214,24.419
7709,2.749
7907,2.156
8103,12.612
8910,39.147
8910,38.013
8910,37.989
8910,37.252
8919,9.612
8919,9.676
9005,19.294
9505,15.078
9609,20.263
9805,16.334
10107,11.306
10107,11.298
10405,8.417
10701,0.203
10701,0.043
10703,12.455
10810,7.689
11312,1.342
11312,1.295
11409,20.513
11409,21.292
11409,21.635
11410,17.546
11415,0.188
11415,0.221
11808,20.048
11808,20.155
11810,12.169
11810,11.818
12101,15.275
12102,19.113
12105,25.598
12504,7.389
12804,30.027
13103,4.533
13201,1.011
14205,0.371
14216,1.856
14216,2.115
14308,17.602
14308,15.057
14309,18.241
14309,18.296
15303,2.046
15504,0.216
17105,16.626
17211,6.33
17211,4.731
17211,4.758
17211,5.903
17212,6.597
17212,6.956
17301,11.295
17302,11.701
17601,32.806
17603,0.674
17914,1.188
18004,8.424
18303,9.901
18701,0.543
18701,0.287
18902,17.829
19601,24.834
19907,0.961
20401,6.179
20513,0.607
20513,0.384
20513,0.553
20604,7.263
21203,0.083
21403,10.275
21403,10.454
21502,20.383
21502,20.387
21805,16.971
22205,15.142
22901,0.317
24101,1.334
24101,1.349
24102,11.532
24404,15.288
24506,13.231
24518,20.626
25002,25.509
25301,28.351
25503,3.167
26504,14.785
26510,0.928
26510,0.932
26510,0.93
26514,25.453
26514,25.031
26514,24.748
26610,1.031
26701,10.245
26801,13.398
26910,11.605
27001,0.359
27205,0.218
27305,1.402
27523,24.318
27902,0.219
28004,2.688
28201,0
28201,0.429
28601,5.009
28601,5.268
29105,14.55
29109,10.606
30003,19.126
31504,33.13
31507,13.246
31508,13.066
31512,2.8
31902,0.11
31904,10.755
31905,1.065
32101,1.134
33604,2.254
33701,12.033
33702,22.441
33702,22.359
33702,22.336
33702,22.666
33808,1.047
33809,1.358
35506,18.533
35603,34.327
36601,2.225
36612,4.58
37807,10.33
38911,0.623
39609,18.556
39804,15.343
39804,15.305
40603,1.11
41401,0.411
43101,11.011
50801,0.58
57602,1.012
58205,0.528
59602,17.922
59602,17.916
59604,0.784
59604,0.429
59604,0.369
59604,0.942
59604,1.119
59604,0.307
72801,8.753
72802,1.205
80504,30.786
82602,13.949
84201,1.513
84201,1.267
84503,13.74
84703,0.96
85501,1.496
104201,15.658
106801,23.214
106801,23.47
113901,1.07
113901,1.187
116002,7.589
116002,7.861
116002,7.997
129901,11.985
129901,11.867
129901,11.062
129901,11.791
129901,11.858
129901,11.772
131701,2.255
131703,5.36
131703,5.326
131703,5.46
131703,5.534
131703,5.4
131703,5.696
136001,0.011
140504,7.17
144501,12.867
168002,0.24
176401,1.547
194501,1.526
213601,10.687
213601,10.767
213601,10.202
213601,10.963
213601,10.631
221502,2.85
223301,5.853
244701,4.706
