RTE_DEFN_LN_NM,RTE_DFO
SH0079-KG,0
SH0105-KG,0
SH0105-LG,0
SH0171-KG,0
SS0126-KG,0
TL0183-RP,0
US0180-TA,0
IH0035-RP,0.008
SH0080-KG,0.009
FM1226-KG,0.011
SH0021-RP,0.012
SH0078-KG,0.019
IH0035-RP,0.022
US0180-TA,0.023
FM1083-KG,0.028
SS0052-KG,0.031
FM1031-KG,0.036
SL0481-CN,0.042
BU0067H-KG,0.05
FM0258-KG,0.05
SH0080-KG,0.055
IH0035-TA,0.058
IH0010-TA,0.064
FM0325-KG,0.065
IH0045-RP,0.067
FM0813-KG,0.07
IH0030-RP,0.082
SL0127-KG,0.154
SH0105-KG,0.157
SH0105-RG,0.157
FM1223-KG,0.159
FM0813-KG,0.187
IH0030-CN,0.187
SS0125-KG,0.188
TL0026-KG,0.203
SS0125-KG,0.221
IH0035-RP,0.225
FM2213-KG,0.24
FM0324-KG,0.249
FM0236-KG,0.267
SH0080-KG,0.268
SH0021-TA,0.27
FM0878-KG,0.307
FM0324-KG,0.316
SL0127-KG,0.323
FM2268-KG,0.332
SL0225-KG,0.334
FM0134-KG,0.352
SS0188-KG,0.364
FM0878-KG,0.369
SL0127-KG,0.377
RM0480-KG,0.394
SL0111-KG,0.402
SL0308-KG,0.402
SL0083-KG,0.41
SH0165-KG,0.411
FM0236-KG,0.428
FM0878-KG,0.429
SH0079-KG,0.429
SS0339-KG,0.486
FM0236-KG,0.513
BU0290F-KG,0.515
FM1822-KG,0.526
FM1183-KG,0.528
BS0037C-KG,0.579
BU0083N-KG,0.582
SL0481-KG,0.586
SS0197-KG,0.623
BU0079F-KG,0.626
BU0067H-KG,0.653
FM0051-KG,0.706
US0067-LG,0.707
FM2268-KG,0.744
FM0158-KG,0.769
FM0878-KG,0.784
FM2268-KG,0.8
SL0466-KG,0.818
SL0150-KG,0.844
SL0481-KG,0.845
SL0150-KG,0.852
BU0281T-KG,0.867
FM0390-KG,0.869
FM2268-KG,0.881
SL0150-KG,0.927
SL0150-KG,0.928
SL0150-KG,0.93
SL0150-KG,0.932
FM0878-KG,0.942
FM0817-KG,0.952
SH0332-KG,0.96
SH0332-LG,0.96
SL0036-KG,0.961
SH0332-RG,0.962
FM0158-KG,0.972
FM2447-KG,0.994
SL0150-KG,1
FM2268-KG,1.006
FM0058-KG,1.008
