LAT,LON,GID,RTE_DEFN_LN_NM,RTE_DFO,ROUTEID,ROUTENUMBER,RTE_PRFX_TYPE_DSCR,RDBD_TYPE_DSCR,RMRKR_PNT_NBR,RMRKR_DISPLACEMENT,CTRL_SECT_LN_NBR,CTRL_SECT_MPT,MSG,distance
31.841909,-102.364585,1509725804,US0385-KG,346.915,154762,385,Single Roadbed,US Highway,355,0.733,22901,0.317,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",109.5879106
31.841909,-102.364585,46218,253117,5.528,161688,253117,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",147.6918
30.946166,-97.536823,1599253123,FM2268-KG,0.8,174175,2268,Single Roadbed,Farm to Market,546,0.706,213601,10.687,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",53.61615283
30.946805,-97.537441,437152,1209823,0.19,379473,1209823,Single Roadbed,Local City Street,,,LU4069,0.19,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",8.640490603
30.946805,-97.537441,437133,1209803,0.11,379454,1209803,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",120.0422986
30.946805,-97.537441,437117,1209787,0,379438,1209787,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",123.2633826
30.944992,-97.536736,1599253123,FM2268-KG,0.881,174175,2268,Single Roadbed,Farm to Market,546,0.787,213601,10.767,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",120.1766396
30.944992,-97.536736,437126,1209795,0.055,379446,1209795,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",137.6592824
30.952909,-97.534731,1599253123,FM2268-KG,0.332,174175,2268,Single Roadbed,Farm to Market,546,0.238,213601,10.202,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",100.6187273
31.065629,-97.460481,1575321076,SH0317-KG,43.225,154211,317,Single Roadbed,State Highway,388,1.336,39804,15.343,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",66.75791243
31.065629,-97.460481,240817,1027937,0.188,203324,1027937,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",107.7642801
31.065629,-97.460481,241123,1028201,0.199,203579,1028201,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",112.9086659
30.942207,-97.53772,1599253123,FM2268-KG,1.076,174175,2268,Single Roadbed,Farm to Market,546,0.982,213601,10.963,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",104.3912106
30.945543,-97.537565,437126,1209795,0.026,379446,1209795,Single Roadbed,Local City Street,,,LU4042,0.026,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",117.9975179
30.945543,-97.537565,437133,1209803,0.023,379454,1209803,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",134.5896705
25.909208,-97.506307,2235,BU0077Z-KG,3.017,160051,77,Single Roadbed,Business US,744,0.972,3910,3.563,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",46.64761323
25.909208,-97.506307,7828,BU0077Z-RG,2.987,160051,77,Right Roadbed,Business US,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",113.3552489
25.909208,-97.506307,40284,265187,7.283,167819,265187,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",147.5072476
33.16288,-96.359667,1633910721,1085083,0.883,258764,1085083,Single Roadbed,Local City Street,,,L95330,0.883,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",100.9809289
33.16288,-96.359667,300708,1085069,0.087,258751,1085069,Single Roadbed,Local City Street,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",117.8335109
29.34235,-97.069252,3025,FM0531-KG,7.373,175629,531,Single Roadbed,Farm to Market,580,1.391,26910,11.605,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",143.6958506
29.448024,-96.997155,2788,FM0340-KG,12.867,175322,340,Single Roadbed,Farm to Market,586,0.898,144501,12.867,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",116.9570505
30.167627,-96.396403,7915,BU0290F-LG,1.67,159983,290,Left Roadbed,Business US,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",23.5606402
30.167627,-96.396403,245075,1031924,0,207198,1031924,Single Roadbed,Local City Street,,,LD1189,0,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",52.16040644
30.167627,-96.396403,8939,SH0105-LG,0,154061,105,Left Roadbed,State Highway,,,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",52.68688603
30.167627,-96.396403,1548790197,BU0290F-KG,1.72,159983,290,Single Roadbed,Business US,444,1.607,,,"Disclaimer: No sale, repackaging, or reposting allowed of conversions",102.7030558
