RTE_DEFN_LN_NM,RMRKR_PNT_NBR,RMRKR_DISPLACEMENT
IH0030-KG,14,0.463
IH0030-KG,14,0.719
IH0030-LG,14,0.465
IH0030-RG,14,0.462
IH0030-RG,14,0.719
US0083-KG,16,1.14
IH0045-LG,47,1.024
SH0136-KG,62,0.057
BI0010D-KG,114,0.009
SH0207-KG,114,1.584
US0083-KG,134,0.262
US0083-LG,134,0.262
US0083-RG,134,0.262
FM1197-KG,196,1.523
US0069-KG,196,0.475
BS0037C-KG,204,0.525
FM0051-KG,208,0.705
US0067-LG,212,0.698
IH0035-KG,217,0.714
IH0035-LG,217,0.715
IH0035-RG,217,0.716
IH0035-XG,217,0.714
SH0006-KG,224,0.582
IH0035-AG,235,0.312
IH0035-KG,235,0.311
IH0035-LG,235,0.311
IH0035-RG,235,0.313
BS0078E-KG,238,1.649
FM0730-KG,238,0.166
SH0005-KG,238,1.29
SH0005-KG,238,1.138
SH0005-KG,238,1.205
US0077-KG,238,0.166
US0281-KG,250,0.74
FM0134-KG,260,0.248
SH0019-KG,260,1.775
US0183-KG,262,1.744
US0377-KG,264,0.981
BU0287P-KG,270,0.752
BU0287P-KG,270,0.522
BU0287P-KG,270,0.687
BU0287P-KG,270,0.761
BU0287P-KG,270,0.784
BU0287P-KG,270,0.31
BU0287P-KG,270,0.301
SH0006-KG,270,0.81
SH0006-KG,270,1.161
SH0006-KG,270,1
US0283-KG,270,0.386
US0054-KG,272,1.233
SH0034-KG,278,1.862
FM0051-KG,286,0.309
SL0279-KG,290,0.112
SL0279-KG,290,1.652
US0281-KG,292,1.858
BI0045G-KG,296,0.104
BU0059D-KG,300,1.585
US0083-KG,302,1.289
US0077-KG,304,1.55
SH0144-KG,308,1.081
SH0171-KG,308,1.338
SH0171-KG,308,1.433
SH0171-KG,308,1.368
BI0020G-RG,310,1.146
FM0056-KG,316,0.084
FM0347-KG,318,0.33
SH0020-KG,326,1.974
SH0020-KG,326,1.959
SH0020-KG,326,1.988
SH0020-KG,326,1.299
SH0020-KG,326,1.845
SL0466-KG,326,0.818
US0085-LG,326,0.666
SH0020-KG,328,0.098
SH0020-KG,328,0.109
SH0020-KG,328,0.047
SH0020-KG,328,0.064
US0069-KG,331,0.855
SH0144-KG,332,1.498
SH0144-KG,332,1.49
SH0036-KG,336,0.419
SH0034-KG,338,0.543
SH0081-KG,338,1.07
SH0081-KG,338,1.192
SH0081-KG,338,1.193
SH0081-KG,338,1.231
SH0081-KG,338,0.933
SH0171-KG,338,1.159
BU0079F-KG,340,0.596
FM2213-KG,344,0.219
SH0006-KG,344,1.407
SH0019-KG,346,0.48
SH0019-LG,346,0.479
SH0019-RG,346,0.475
FM0258-KG,348,0.01
SH0034-KG,350,1.221
US0062-KG,352,1.465
US0062-LG,352,1.465
US0062-RG,352,1.465
US0385-KG,355,0.733
FM0324-KG,358,0.301
FM0324-KG,358,0.234
SL0036-KG,358,0.932
BU0067H-KG,360,0.608
BU0067H-KG,360,0.005
FM0058-KG,360,0.958
US0069-KG,360,0.245
FM0381-KG,364,1.918
BI0040H-KG,366,0.324
SL0229-KG,370,1.065
US0079-KG,372,1.229
US0082-KG,372,1.214
BU0087M-KG,378,0.218
US0059-KG,378,0.949
US0059-LG,378,0.949
US0059-RG,378,0.949
BU0059G-KG,388,1.879
SH0317-KG,388,1.336
SH0317-KG,388,1.906
SH0317-KG,388,2.021
SH0317-KG,388,1.811
SH0317-KG,388,1.297
SH0317-KG,388,1.784
SL0505-KG,388,1.349
SH0317-KG,390,0.23
FM1644-KG,394,1.881
US0083-KG,402,0.795
SH0036-KG,408,1.903
BS0006R-KG,410,0.947
SL0481-KG,416,0.551
SL0481-KG,416,0.81
SH0095-KG,422,0.459
SH0095-KG,422,0.344
SH0090-KG,430,1.295
SL0111-KG,438,0.349
BU0090Y-KG,442,0.614
BU0090Y-KG,442,0.453
BS0036J-KG,444,0.675
BS0036J-KG,444,0.419
BS0036J-KG,444,0.202
BS0036J-KG,444,0.445
BU0290F-KG,444,1.607
BU0290F-KG,444,0.402
BU0290F-KG,444,1.18
BU0290F-KG,444,1.522
FM0390-KG,444,0.805
FM2447-KG,444,1.901
FM2447-KG,444,1.784
FM2447-KG,444,0.978
FM2447-KG,444,1.708
FM2447-KG,444,1.776
FM2447-KG,444,1.689
FM2447-KG,444,1.466
BU0290F-KG,446,0.282
BU0290F-KG,446,0.05
BU0290F-KG,446,0.204
FM0577-KG,446,1.495
FM0601-KG,448,1.444
BU0067M-KG,452,1.26
FM1155-KG,452,0.508
SH0017-KG,454,0.413
FM0390-KG,456,1.071
SH0237-KG,456,1.195
FM0390-KG,464,0.922
RM0480-KG,464,0.36
SL0082-KG,464,1.852
FM2326-KG,466,0.876
SH0027-KG,466,0.148
SL0082-KG,466,0.043
SL0082-KG,466,0.092
SL0082-KG,466,0.146
SL0082-KG,466,0.085
SL0082-LG,466,0.187
SL0082-LG,466,0.086
SL0082-RG,466,0.04
SL0082-RG,466,0.09
RM0150-KG,468,0.824
RM0150-KG,468,0.655
US0087-KG,468,0.9
US0087-KG,468,0.452
US0087-KG,468,0.558
US0087-LG,468,0.664
SH0061-KG,470,1.202
US0380-KG,470,1.162
US0380-KG,470,1.091
FM0389-KG,476,1.092
FM0389-KG,476,0.588
RM0474-KG,476,1.912
RM0474-KG,476,1.838
SS0052-KG,476,0.013
US0090-KG,482,1.075
US0090-RG,482,1.079
RM0152-KG,484,0.608
BS0123B-KG,488,1.617
US0281-KG,488,0.366
US0077-KG,496,1.404
SS0197-KG,498,0.006
BU0083S-KG,504,1.25
BU0083S-KG,504,1.377
FM0539-KG,504,0.865
SH0060-KG,504,1.987
SH0107-KG,504,0.886
BU0377J-KG,506,0.238
BU0377J-KG,506,0.029
SH0060-KG,506,1.412
SH0060-KG,506,1.459
SH0060-KG,506,1.474
SH0060-KG,506,0.756
SH0060-KG,506,0.732
SH0060-KG,506,1.126
SH0060-KG,506,0.783
US0190-KG,506,1.936
BS0046C-KG,514,0.255
BS0046C-KG,514,0.259
BU0287S-KG,514,1.721
BU0287S-KG,514,2.08
FM0236-KG,520,0.494
FM0236-KG,520,0.409
FM0236-KG,520,0.248
UA0090-KG,520,1.533
SH0108-KG,522,1.29
US0183-AG,522,0.649
SL0308-KG,524,0.338
FM1822-KG,526,0.505
SH0060-KG,532,0.551
SH0022-KG,544,1.312
SH0022-KG,544,1.303
US0082-KG,544,0.316
BS0035H-KG,546,1.148
FM2268-KG,546,0.706
FM2268-KG,546,0.787
FM2268-KG,546,0.238
FM2268-KG,546,0.982
FM2268-KG,546,0.912
FM2268-KG,546,0.65
US0087-KG,546,1.469
US0180-KG,546,2.019
FM0817-KG,552,0.919
SH0016-KG,552,0.736
SH0029-KG,554,1.523
SH0029-KG,554,1.441
SH0029-KG,554,1.157
SH0029-KG,554,1.418
SH0029-KG,554,1.466
SH0029-KG,554,1.355
SH0029-KG,554,1.748
SH0029-KG,554,0.858
SH0029-KG,554,1.083
FM0922-KG,560,0.861
SL0150-KG,560,0.884
SL0150-KG,560,0.8
SL0150-KG,560,0.808
SL0150-KG,560,0.888
SL0150-KG,560,0.886
SL0150-KG,560,0.883
SL0150-KG,560,0.956
US0079-KG,564,0.586
SH0199-KG,566,5.267
SL0343-KG,566,1.348
SL0343-KG,566,1.301
SH0021-KG,568,1.447
SH0021-LG,568,1.769
SH0021-LG,568,1.445
